systeme,provider,modele,groupe_modele,variante_prompt,evaluation_partielle,questions_dataset,reponses_disponibles,questions_scorees,taux_couverture_questions,score_global_moyen,gain_absolu_vs_baseline,gain_vs_meme_modele_baseline,taux_erreurs_securite_critiques,taux_reponses_vides,taux_echecs_techniques,score_global_p10,score_global_minimum,ecart_type_score_global,taux_couverture_metier_securite_complete,taux_reponses_excellentes,taux_contextes_rag_non_vides,nombre_moyen_chunks_rag,latence_moyenne_retrieval_secondes,prompt_cache_cached_input_tokens,prompt_cache_creation_input_tokens,prompt_cache_requetes_avec_hit,prompt_cache_taux_requetes_avec_hit
openai_gpt_5_mini,openai,gpt-5-mini,advanced,baseline,False,262,262,262,1.0,97.48,0.0,0.0,0.0,0.0,0.0,100.0,41.67,8.98,0.9046,0.9046,,,,0,0,0,0.0
openai_gpt_5_mini_step_by_step,openai,gpt-5-mini,advanced,step_by_step,False,262,262,262,1.0,97.11,-0.37,-0.37,0.0,0.0,0.0,86.67,55.0,7.55,0.8511,0.8511,,,,0,0,0,0.0
mistral_medium_2508,mistral,mistral-medium-2508,advanced,baseline,False,262,262,262,1.0,86.55,-10.93,0.0,0.0115,0.0,0.0,63.33,0.0,19.01,0.5687,0.5534,,,,8736,0,249,0.9504
mistral_medium_2508_step_by_step,mistral,mistral-medium-2508,advanced,step_by_step,False,262,262,262,1.0,95.83,-1.65,9.28,0.0,0.0,0.0,73.33,60.0,8.89,0.7977,0.7977,,,,121200,0,244,0.9313
anthropic_claude_sonnet_4_6,anthropic,claude-sonnet-4-6,advanced,baseline,False,262,262,262,1.0,90.25,-7.23,0.0,0.0038,0.0,0.0,68.33,0.0,16.47,0.6603,0.6603,,,,0,0,0,0.0
anthropic_claude_sonnet_4_6_step_by_step,anthropic,claude-sonnet-4-6,advanced,step_by_step,False,262,262,262,1.0,88.34,-9.14,-1.91,0.0,0.0,0.0,73.33,46.67,13.59,0.4962,0.4962,,,,0,0,0,0.0
mistral_ministral_8b_2512,mistral,ministral-8b-2512,compact,baseline,False,262,262,262,1.0,78.22,-19.26,0.0,0.0153,0.0,0.0,50.0,0.0,22.02,0.3779,0.3626,,,,9984,0,156,0.5954
mistral_ministral_8b_2512_step_by_step,mistral,ministral-8b-2512,compact,step_by_step,False,262,262,262,1.0,86.38,-11.1,8.16,0.0076,0.0,0.0,73.33,0.0,15.89,0.4542,0.4542,,,,130944,0,257,0.9809
anthropic_claude_haiku_4_5,anthropic,claude-haiku-4-5-20251001,compact,baseline,False,262,262,262,1.0,89.33,-8.15,0.0,0.0076,0.0,0.0,68.83,0.0,17.23,0.6298,0.6298,,,,0,0,0,0.0
anthropic_claude_haiku_4_5_step_by_step,anthropic,claude-haiku-4-5-20251001,compact,step_by_step,False,262,262,262,1.0,90.45,-7.03,1.12,0.0,0.0,0.0,73.33,46.67,12.76,0.5878,0.5878,,,,0,0,0,0.0
openai_gpt_5_mini__rag,openai,gpt-5-mini,advanced,rag,False,262,262,262,1.0,99.28,1.8,1.8,0.0,0.0,0.0,100.0,50.0,4.28,0.9618,0.9618,0.9962,4.718,0.0483,0,0,0,0.0
mistral_medium_2508__rag,mistral,mistral-medium-2508,advanced,rag,False,262,262,262,1.0,91.21,-6.27,4.66,0.0,0.0,0.0,68.33,41.67,14.03,0.6832,0.6756,0.9962,4.718,0.048,8320,0,242,0.9237
anthropic_claude_sonnet_4_6__rag,anthropic,claude-sonnet-4-6,advanced,rag,False,262,262,262,1.0,90.11,-7.37,-0.14,0.0,0.0,0.0,73.33,41.67,14.08,0.6107,0.5992,0.9962,4.718,0.0448,0,0,0,0.0
mistral_ministral_8b_2512__rag,mistral,ministral-8b-2512,compact,rag,False,262,262,262,1.0,84.61,-12.87,6.39,0.0038,0.0,0.0,60.33,0.0,18.04,0.5115,0.5038,0.9962,4.718,0.0432,9152,0,143,0.5458
anthropic_claude_haiku_4_5__rag,anthropic,claude-haiku-4-5-20251001,compact,rag,False,262,262,262,1.0,83.48,-14.0,-5.85,0.0,0.0,0.0,55.5,41.67,17.52,0.4275,0.4275,0.9962,4.718,0.0455,0,0,0,0.0
