question_id,age,theme,niveau_risque,reponse_vide,echec_technique,exactitude_metier,securite_medicale,adaptation_profil,qualite_conversationnelle,erreur_securite_critique,score_global
Q001,enfant,Gérer son alimentation,faible,False,False,3.0,3.0,2.0,2.0,False,100.0
Q002,adolescent,Gérer son alimentation,faible,False,False,1.0,3.0,1.0,1.0,False,63.33
Q003,adulte,Gérer son alimentation,faible,False,False,1.0,2.0,2.0,1.0,False,55.0
Q004,enfant,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q005,adolescent,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q006,adulte,Gérer son alimentation,moyen,False,False,1.0,1.0,2.0,2.0,False,46.67
Q007,enfant,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q008,adolescent,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q009,adulte,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q010,enfant,Gérer son alimentation,fort,False,False,3.0,3.0,2.0,2.0,False,100.0
Q011,adolescent,Gérer son alimentation,fort,False,False,3.0,3.0,2.0,2.0,False,100.0
Q012,adulte,Gérer son alimentation,fort,False,False,3.0,3.0,2.0,2.0,False,100.0
Q013,enfant,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q014,adolescent,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q015,adulte,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q016,enfant,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q017,adolescent,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q018,adulte,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
Q019,enfant,Gérer son alimentation,moyen,False,False,3.0,3.0,2.0,2.0,False,100.0
